title,genre,description,director,cast
Kantharam,Thriller,Due to the restless sentiments Siddhartha books a honeymoon package from aditi dot com but the hopeful journey end up being dangerous for them.,Shan Kechery,"['Hemanth Menon', 'Jiivika Pillappa', 'Shivaji Guruvayoor', 'Bijukuttan']"
Nalla Vishesham,Drama,"'Water is the Basis of Life' - based on this fact, Nalla Vishesham revolves around the lives of people on the banks of river Njavaroorkadavu. With the help of Ajayan, businessman Divakara ...See full summary»",Ajithan,"['Biju Sopanam', 'Indrans', 'Sreeji Gopinathan', 'Anisha Seena']"
A Night A Day,null,Daytime. A pair of lovers enter a house deserted by a flood. She has run away from home. He is not in a condition to start a life with her. The wind blows heavy in the fields of long grass.,Prathap Joseph,"['Yamuna Chungappalli', 'Mari', 'Lennon Gopin', 'Najil Hameed']"
Upama,Drama,"Appu, an orphan who is mentally challenged but closely attached to mother nature. There's a twist of fate for both Appu and the villagers when a group of youngsters organize a treasure hunt game in the village.",S.S. Jishnu Dev,"['Sasikanthan', 'Manasa Prabhu', 'Anas Rahim J', 'Harikrishnan .R.G.']"
Vishudha Pusthakam,Drama,Add a Plot,Shabu Usman,"['Aaliyah', 'Anna Baby', 'Badusha', 'Manoj Guinness']"
Swapnarajyam,"Comedy, Drama, Romance",A youngster hailing from a middle-class family must face off against overwhelming odds to succeed in life.,Ranji Vijayan,"['Jagadish', 'Neli Kings', 'Kalabhavan Narayanan Kutty', 'Madhurima']"
Viplavam Jayikkanullathanu,"Action, Drama",Add a Plot,Nishad Hasan,"['Assi Moidu', 'Adhin Ollur', 'Anwara Sulthana', 'Bishal Vazhappilly']"
Oru Njayarazhcha,Drama,"Events happening in one single day, a Sunday, in the life of two couples who're in extramarital affairs.",Shyamaprasad,"['Murali Chand', 'Sreenidhi Ganguly', 'Niranjan Kannan', 'Satheesh Kumar']"
Roudram 2018,Drama,Based on real-life incidents that occurred in central Travancore during the devastating floods that Kerala survived in 2018.,Jayaraj,"['Renji Panicker', 'K.P.A.C. Leela', 'Nikhil Renji Panicker', 'N.P. Nisa']"
Vallikkettu,"Drama, Romance",Boy and girl fell in love but seems she have some issues with his attitudes. A bullying boy with bad friends.,Jibin,"['Boban Alumoodan', 'Shivaji Guruvayoor', 'Jaffer Idukki', 'Babu Jose']"
Idam,Drama,A 70-year-old widowed woman on the verge of being sent to an old age home makes a decision that shocks her family.,Jaya Jose Raj,"['Seema Biswas', 'Anil Nedumangad', 'Leela Panikkar', 'Hareesh Peradi']"
Maffi Dona,"Action, Crime, Thriller","The film holds mirror to the social evil of human trafficking, organ trade and violence happening around us.",Pauly Vadakkan,"['Maqbool Salmaan', 'Sreevidya Nair', 'Jubil Rajan P. Dev', 'Sudheer Karamana']"
Mere Pyare Deshvasiyom,Comedy,"A group of spirited elderly citizens who rediscover their passion for life, hailing from a village where the literacy rate is pretty low, this motley group of elders will fight against the odds to achieve their graduation dreams.",Sandeep Ajith Kumar,"['K.T.C. Abdullah', 'Arya Devi', 'Neena Kurup', 'Nirmal Palazhi']"
Vari the Sentence,Drama,Add a Plot,Sreejith Poyilkavu,"['Santhosh Keezhattoor', 'Sajitha Madathil', 'Rachna. R. Shelar']"
Rameshan Oru Peralla,"Drama, Thriller","Rameshan is a kind man who never backs out when a fellow human being is in need of help. On the day he begins his new career as a taxi driver, a group of college students board his cab, leading to unexpected consequences, in his life.",Sujith Vigneshwar,"['Manikandan', 'Divyadarshan', 'Rajesh Sharma', 'Shailaja Ambu']"
Kosrakollikal,Drama,"The film revolves around the lives of two childhood friends Sreekuttan and Anwar, who fall for the same girl, People of a not so developed island in Kerala struggle to understand the ...See full summary»",Jayan Krishna,"['Bhagath Baby Manuel', 'Sasi Kalinga', 'Kanakalatha', 'Thanuja Karthik']"
Adutha Chodyam,"Drama, Thriller",Indian Malayalam film directed by A.K.S. Nambiar.,A.K.S. Nambiar,"['Sheikh Rasheed', 'Joseph Jacob', 'Benny John', 'Benny John']"
Isakkinte Ithihasam,Drama,"The parishioners decide to construct a new church leaving Fr. Isahak to temporarily move into Margi, a parishioner's house. In the meantime Margi's son Gregory and George Washington's daughter Clara elope.",R.K. Ajayakumar,"['Babu Annur', 'Ashokan', 'Pradeep Kottayam', 'Bhagath Baby Manuel']"
Kollavarsham 1975,Drama,Add a Plot,Sajin .K. Surendran,"['Ragenth', 'Tito Wilson']"
Kalippu,Thriller,"The story of five youngsters hailing from a slum, who band together to tackle the problems by the villagers.",Jessen Joseph,"['Jeffin', 'Kalesh Kalakkodu', 'Anaz Sainudeen', 'Bala Singh']"
Daivam Sakshi,Drama,Iqbal returns from Kuwait in hopes of starting a small business in his hometown. He dreams of a simple life supporting his son's dream of becoming an aeronautical engineer. But a series of bad financial decisions change his fate forever.,Snehajith,"['Suraj Venjaramoodu', 'Madhupal', 'Bijukuttan', 'Kulappulli Leela']"
Shakthan Market,"Action, Drama","A fishmonger at the Shaktan Market in Thrissur, Abdukka leads a contented life with his son Shameer and his adopted son Muthu. Things spiral into a crisis when their sworn enemies Cherookadan and Jose start plotting Abdukka's downfall.",Jeeva,"['Akhil Prabhakar', 'Rishi Kumar', 'Nayana Prasad', 'Amaldev']"
Unmadiyude Maranam,Fantasy,A man named Unmadi's dreams causes disturbances in the society as his fellow citizens also start watching his dreams. Authorities insist him to censor his dreams before he start seeing them...See full summary»,Sanal Kumar Sasidharan,"['Rajshri Deshpande', 'Johnny Jr1', 'Sujith Koyickal', 'Suni R S']"
Swarna Malsyangal,Drama,"Four friends are all set to celebrate their vacation when they find out that their neighbor Jyothi is leaving for her home town. Curiosity leads the friends to do unexpected things, which in turn leads them into trouble.",G.S. Pradeep,"['Rajesh Hebbar', 'Jasnya Jayadeesh', 'Hareesh Kanaran', 'Sudheer Karamana']"
Prashna Parihara Shala,"Action, Drama","rashna Parihara Shala is a Malayalam movie starring Akhil Prabhakar, Sarath Babu and Suryalal Sivaji in prominent roles. It is romance drama directed by Shabeer Yena.",Shabeer Yena,"['Akhil Prabhakar', 'Sarath Babu', 'Suryalal Sivaji', 'Jowin Abraham']"
Ikkayude Shakadam,Comedy,Story of an ikka (actor mammootty) fan.,Prince Avarachan,"['Dominic Dom', 'Aswiny Gouri', 'Sarath Kumar', 'DJ Thommi']"
1948 Kaalam Paranjathu,"Drama, History",Add a Plot,Rajeev Naduvanad,"['Bala', 'Prakash Chengal', 'Devan', 'Sreejith Ravi']"
Janaadhipan,"Drama, Thriller",Based on the life of a Chief Minister in Kerala who was pitted against an invisible foe and how everyone involved was scheming ruthlessly for their own personal gain.,Thanseer M.A.,"['Balachandran Chullikadu', 'Firoz', 'Hariprashanth', 'Vijayan Karanthoor']"
Therottam,"Action, Thriller","Sanju, Shiva, Nelson, and Appunny's friendship stands true to the test of time when they all go out of their ways to help Shiva's sister Shivani, who gets caught in an unfortunate incident.",Pradeesh Unnikrishnan,"['Azhar Mohammed', 'Antony Francis', 'Aishwarya Prashanth', 'Jayas Reji']"
Red Signal,Drama,Add a Plot,Sathyadas Kajiramkulam,"['Indrans', 'Charmila', 'Neena Kurup']"
Poovalliyum Kunjadum,Drama,Poovalliyum Kunjadum is a Malayalam movie starring Arya Manikandan and Basil George in prominent roles. It is a drama directed by Farookh Ahamadali.,Farookh Ahamadali,"['Basil George', 'Arya Manikandan', 'Kottayam Nazeer', 'Shammi Thilakan']"
Aniyankunjum Thannalayathu,Drama,"Life works in mysterious ways. Destiny takes human on a journey unforeseen and unexpected. In such cases, man can only brace himself for what is to come. A story of destiny that makes Aniyan Kunju travel the world.",T. Rajeevnath,"['Abhirami', 'Bhagyalakshmi', 'Ganesh Bhat', 'Geetha']"
Big Salute,Drama,"Story of Chandrasekhar, an army veteran, who values his country more than anything is ill treated by society.",A.K.B. Kumar,"['Pradeep Gopal', 'Dinesh Panicker', 'Shanavas Shanu', 'Ambika Mohan', 'Harisree Yousuf']"
Gramavasees,"Comedy, Drama",Add a Plot,B.N. Shajeer Sha,"['Chriz Deepu', 'Indrans', 'Santhosh Keezhattoor', 'Azees Nedumangad']"
Odunnon,Drama,"The life of Pappan, who gets dragged into matters of faith and superstition and finds himself overwhelmed by fear.",Noushad Ibrahim,"['Santhosh Keezhattoor', 'Shivaji Guruvayoor', 'Rajesh Sharma', 'Akshay']"
Green Leaves Yellow Flowers,"Adventure, Comedy, Drama","Kannan is a tribal boy who is a student of a government school near a jungle. He walks to the school daily through the tedious path of the jungle. His pompous classmate, Adityan keeps ...See full summary»",Vijayakrishnan,"['Aliyar', 'Neena Kurup', 'Arun Nair', 'Nandu']"
Muttayikkallanum Mammaliyum,Drama,Add a Plot,Ambujakshan Nambiar,"['Babu Annur', 'Dharmajan Bolgatty', 'Kailash', 'Mammukoya']"
Oru Nakshathramulla Aakasham,Drama,"The poignant tale of a school teacher in rural Kerala. It is interlaced between her struggles to find children for her school and the journey of a young man from Bangalore, who ventures to the small town to investigate her past love.",Suneesh Babu,"['Ajith Pulleri', 'Aparna Gopinath', 'Eric Zachariah', 'Lal Jose', 'Santhosh Keezhattoor']"
Rakshapurushan,"Action, Thriller","The story of Rakshapurushan revolves around Stephen, an honest man whose life descends into chaos after he loses everything dear to him in the battle against a corrupt system.",Nalini Prabha Menon,"['Deepak Menon', 'Manju Sankar']"
Oru Caribbean Udayippu,"Comedy, Drama, Musical",The story revolves around 6 music enthusiastic children from a village who group themselves to form a music band. After being separated for a couple of years while pursuing their graduation they reunite at the same college.,A. Joji,"['Samuel Abiola Robinson', 'Rishi Prakash', 'Megha Mathew', 'Vishnu Vinay']"
March Randam Vyazham,Drama,Add a Plot,Jahangir Ummar,"['Anjana Appukuttan', 'Raja Azees', 'Shibu Dazzler', 'Vinod Guiness']"
Fancy Dress,"Comedy, Thriller",Two guys think a big-time crime will turn things around for them in life. Will it?,Ranjith Skaria,"['Jose Adhya', 'Ajaykumar', 'Ponnamma Babu', 'Bala']"
Fever...,Drama,"Mercilessly killing aged parents by the children in a heinous, age old custom called 'Thalaikuthal', is being practiced secretly even now in some villages of Tamil Nadu, India. 'PANI' ...See full summary»",Santhosh Mandoor,"['M.R. Gopakumar', 'Rosilin']"
Theerumanam,Drama,Add a Plot,P.K. Radhakrishnan,"['Santhosh Keezhattoor', 'Neena Kurup', 'Prem Kumar', 'Major Ravi']"
In a Land Far Away,Drama,"The movie speaks about the reviving, uplifting impact of a veteran teacher, Radha, on a village through her ardent efforts to rescue an ancient tribal school threatened with closure by ...See full summary»",Joshy Mathew,"['Indrans', 'Nandu', 'Kala Vijayan']"
Oru Desa Visesham,Drama,A drama revolving around the life of percussion artists in Kerala.,Sathyanarayananunni,"['Kalapathy Balakrishnan', 'Dileep Kuttipuram', 'Panamanna Sasi', 'Porur Unnikrishnan']"
The Great Indian Road Movie,"Adventure, Drama, Family","On regaining his vision after a cornea transplant, a nine-year-old boy embarks on a journey to explore India along with his father.",Sohan Lal India,"['Vijay Anand', 'Anila', 'Master Ashray', 'Madhupal']"
Freakens,"Comedy, Drama",Add a Plot,Anish J. Karrinad,"['Biju Sopanam', 'Indrans', 'Kalabhavan Niyas', 'Kochu Preman']"
A For Apple,Drama,Add a Plot,Madhu S. Kumar,"['Devan', 'Pradeep Kottayam', 'Krishna Kumar', 'Salim Kumar']"
Irumbu,Drama,Add a Plot,Pradeesh Unnikrishnan,['Maanav']
Makkana,Drama,Daughter of a pagan Fled with Those parents were paralyzed. Later To convert to get close to daughter Trying to stop them by reminding them that all religions are one.,Rahim Khader,"['Indrans', 'Santhosh Kizhatoor', 'Kulappulli Leela', 'Sajitha Madathil']"
Prakashante Metro,Comedy,"The life of a happy-go-lucky auto driver named Prakashan, which unfolds during his journey from Vytila to Aluva along with a young indigent girl.",Haseena Suneer,"['Dinesh Prabhakar', 'Saju Navodaya', 'Sabumon Abdusamad', 'Jayan Cherthala']"
Thenkasikkatu,"Action, Drama",Add a Plot,Shinod Sahadevan,"['Hemanth Menon', 'Padmaraj Ratheesh', 'Jiivika Pillappa', 'Kavya Suresh']"
Ningal Camera Nireekshanathilaanu,"Crime, Thriller",The film revolves around a veteran photographer who is faced with an unexpected incident in his life. What follows is a series of thrilling investigations that take place while getting to the root of the incident.,Vinayan C.S.,"['Said Alharbi', 'M.R. Gopakumar', 'Shivaji Guruvayoor', 'Sasi Kalinga']"
Arayakadavil,Drama,Add a Plot,Gopi Kuttikol,"['Shivaji Guruvayoor', 'Sasi Kalinga', 'Zeenath', 'Unni Raja']"
Mayil,Drama,Add a Plot,Sarathchandran Wayanad,"['Prakash Chengal', 'Kulappulli Leela', 'Praveena', 'Priyalal']"
Asuren II,Crime,Add a Plot,Rajaram Mohan,"['Vishnu Jith', 'Jijin Nath', 'Twinkle Raj', 'Aravind Vijayakumar']"
Olessia,"Drama, Musical","A drama film directed by Nazrudinsha, Olessia tells the story of an Anglican girl who has to cope with loneliness and depression after being neglected by her parents. The film features Anson Paul, Divya Das and Afsal Ali in central roles.",Nazrudinsha,"['Afzal Ali Kerala', 'Bindu Aneesh', 'Divya Das', 'Anson Paul']"
Mounaksharangal,Drama,Add a Plot,Devadas Kallurutty,"['Master Asif Erattupetta', 'Baby Sreelakshmi']"
At Once,Romance,Add a Plot,Syed Usman,"['Adam Ayub', 'Badri', 'Swasika Vijay']"
Oru Mass Kadha Veendum,Comedy,"A team of infamous terrorists hijacks a bus full of kids on a school trip. What follows is a combination of suspense and comic relief, with a twist in the story at every crossroad.",Gokul Karthic,"['Charmila', 'Mammukoya', 'Ullas Pandalam', 'Dinesh Panicker']"
Oru Nalla Kottayamkaran,Drama,Add a Plot,Simon Kuruvilla,"['Ashokan', 'Shaju K.S.', 'Nanda Kishore', 'Pradeep Kottayam']"
Moonam Pralayam,Drama,Add a Plot,Ratheesh Raju M.R.,"['Ashkar Saudan', 'Saikumar', 'Sanuja Somanath', 'Bindu Panikkar']"
Rakthasakshyam,Drama,Add a Plot,Bijulal,"['Jijoy Rajagopalan', 'Divya Gopinath', 'Devi Ajith', 'Sunil Sukhada']"
Lessons,Drama,"Anthology film showcasing four stories based on loneliness, arrogance, helplessness, and accomplishment. Each slice-of-life story provides a thought-provoking lesson from life.",Ramesh Ammanath,"['Taj Bashir', 'Mohammed Shah', 'Manoj S Nair', 'Naji M Baji', 'Santhosh Keezhattoor', 'M.A. Nishad', 'Captain Raju']"
Ivide Ee Nagarathil,Drama,Add a Plot,Padmendra Prasad,"['AkhilSamVijay', 'Biju Sopanam', 'Sreedhanya', 'Thanuja Karthik', 'Anandi Ramachandran']"
Makkana,Drama,An orthodox couple has a fit of anger when their daughter flees and marries a man from another religion. The two are conflicted between the love for their daughter and their deep-rooted religious faith.,Raheem Khadar,"['Indrans', 'Santhosh Keezhattoor', 'Kulappulli Leela', 'Sajitha Madathil']"
Issacinte Kadhakal,Romance,"An US based married couple in their 40s, named Sakkariah and Aleena (Tom George and Suvarna Mathew) desperately want to have a baby, but they are unable to have a lasting pregnancy. Aleena ...See full summary»",Shivani Bhai,"['Tom George', 'Suvarna Mathew', 'Thampy Thekek']"
Chilappol Penkutty,Drama,"A woman recovers with the help of her friends after being sexually assaulted, with the incident being discussed nationally on social media.",Prasad Nooranad,"['Kavya Ganesh', 'Krishnachandran', 'Avani S. Prasad', 'Sunil Sukhada']"
Kavachitham,"Drama, Thriller",Add a Plot,Mahesh Menon,[]
Bolivia,"Drama, Mystery, Thriller","A female activist and her friends are trying to solve the mystery behind the death of a housewife and her missing son. However, during the course of the investigation, they are presented ...See full summary»",Faizal Koonath,"['Soumya Sadanandan', 'Neena Kurup', 'Master Aslaabith', 'Ashok Kumar']"
Krooshithan,Drama,Add a Plot,Sreejith Chazur,"['Shivaji Guruvayoor', 'Irshadh', 'Manu Shivaji', 'Sunil Sukhada']"
Sidharthan Enna Njan,Drama,Add a Plot,Ashaprabha,"['Sibi Thomas', 'Indrans', 'Kalabhavan Haneef', 'Vijayan Karanthoor']"
Kanyavanangal,Drama,Add a Plot,Siddik Paravoor,"['P.K. Biju', 'Rajitha Santhosh']"
Thug Life,Drama,Add a Plot,Arun Varma,[]
Mahassar,Thriller,Mahassar is a crime thriller based feature that goes on a emotional roller-coaster ride with the protagonist and the hunt for a killer.,Vivek Asok,"['Ananya', 'Lissy', 'Arun Nayar', 'Viju Verma']"
Kunjiramante Kuppayam,Drama,Add a Plot,Sidheeque Chennamangallur,"['Thalaivasal Vijay', 'Major Ravi', 'Sajitha Madathil', 'V.K. Sriraman']"
Cheriya Cheriya Valiya Karyangal,Drama,Release Date-15 November 2019,Vairankode Raveendranadh,"['Raveendranadh Vairankode', 'Ashwin Krishna Jishnu Nadh', 'Kanhangad Bachen', 'Rakesh Elamkulam', 'V.C. Kabeermaster']"
Pattabhiraman,Drama,It is the story of a warrior against food adulteration and challenges he faces because of that.,Kannan Thamarakkulam,"['Jayaram', 'Sheelu Abraham', 'Jose Adhya', 'Ali']"
Kenjira,Drama,Add a Plot,Manoj Kana,['Vinusha Ravi']
Take it easy,Musical,Add a Plot,Anand Surya,[]
Appu in search of truth,Family,"Nine year old Appu has failed in his examination and teacher has asked him to get his father's signature on the answer sheet. As Appu was worried about the solid beating he will get, his ...See full summary»",Sohan Lal,[]
Vattamesha Sammelanam,Comedy,"It feels like that old psychological trick. Lower expectations by suggesting that something is the pits and then, people will feel that, 'hey, actually it is not bad in the least'. That ...See full summary»",Vipin Atley,"['Dominic Dom', 'Gokulan', 'Jude Anthany Joseph']"
Bellum Breakum,Drama,Add a Plot,P.C. Sudheer,[]
Theevandi,Comedy,Theevandi is a political satire depicted through light humor where the protagonist Bineesh hardly knows a thing even about himself.,Fellini T.P.,"['Tovino Thomas', 'Samyuktha Menon', 'Suraj Venjaramoodu', 'Saiju Kurup']"
Ee. Ma. Yau,"Comedy, Drama","Set in Chellanam, Kochi, the story of Ee. Ma. Yau revolves around the death of Vavachan Mesthiri in a coastal village. It showcases the events that unfold between two evenings and looks at death from different perspectives.",Lijo Jose Pellissery,"['Kainakary Thankaraj', 'Chemban Vinod Jose', 'Vinayakan', 'Dileesh Pothan']"
Varathan,"Action, Drama, Thriller","After losing his job Abin along with his wife Priya, who has suffered a miscarriage, decide to shift from Dubai to Priya's family estate in Kerala. However, peace eludes the couple as they run into a set of new troubles.",Amal Neerad,"['Fahadh Faasil', 'Aishwarya Lekshmi', 'Sharafudheen', 'Dileesh Pothan']"
Sudani from Nigeria,"Comedy, Sport","Story of an African football player and a local football club manager from Malappuram, Kerala.",Zakariya,"['Soubin Shahir', 'Samuel Abiola Robinson', 'Savithri Sreedharan', 'Sarasa Balussery']"
Eka,"Drama, Thriller","Based on true incidents , Referred as the most violent Indian movie of the year Eka is first Indian movie to discuss the Intersex gender, person born with both male and female genitals. The...See full summary»",Prince John,['Rehana Fathima']
Njan Prakashan,"Comedy, Drama","Pining for a lavish life abroad, a lazy but lovable guy-next-door crafts a scam to avoid a career in nursing and find a wealthy spouse to secure a visa.",Sathyan Anthikad,"['Fahadh Faasil', 'Sreenivasan', 'Nikhila Vimal', 'Devika Sanjay']"
Swathanthryam Ardharathriyil,"Action, Crime, Thriller","Jacob, a manager at a big financial firm, finds himself behind bars when he tries to save the woman he loves from being involved in a criminal case. The only way for him to survive and to escape was to break out of prison.",Tinu Pappachan,"['Antony Varghese', 'Vinayakan', 'Chemban Vinod Jose', 'Tito Wilson']"
Aravindante Athidhikal,"Comedy, Drama",A five-year-old kid is found deserted on Navarathri at a 1200-year-old temple and is believed to have been blessed by with the presence of Mookambika Devi is found and raised by a lodge owner.,M. Mohanan,"['Vineeth Sreenivasan', 'Sreenivasan', 'Nikhila Vimal', 'Urvashi']"
Koode,"Drama, Fantasy","The story is set against the backdrop of hills of Nilgiris where two siblings, Joshua and Jenny, who come from a middle-class family. Together, they dwell on the serenity and calmness of the mountains.",Anjali Menon,"['Prithviraj Sukumaran', 'Atul Kulkarni', 'Nazriya Nazim', 'Darshana Rajendran']"
Joseph,"Crime, Drama, Thriller","The story develops through the life of four retired policemen. It has the tone of a thriller investigation. An issue affecting the life of Joseph, the central character, and his family is being investigated.",M. Padmakumar,"['Joju George', 'Athmeeya Rajan', 'Dileesh Pothan', 'James Eliya']"
Hey Jude,"Drama, Romance","Two odd ball characters, a youngster named Jude and the other, a talented singer named Crystal. When these two characters come together, their lives undergo several changes, leading to love, self-discovery, healing and transformation.",Shyamaprasad,"['Nivin Pauly', 'Trisha Krishnan', 'Siddique', 'Vijay Menon']"
Oru Kuprasidha Payyan,"Action, Crime, Mystery","It is a murder mystery which draws its inspiration from the real-life murders in Kerala and explores how a person can be framed and labelled a criminal, even if there is no solid proof of their guilt.",Madhupal,"['Tovino Thomas', 'Nimisha Sajayan', 'Anu Sithara', 'Saranya Ponvannan']"
Odiyan,"Action, Drama, Fantasy","The story of the Odiyan clan, one of the most dreaded, shape-shifting black magicians in the world which ruled the darkness of night through during the pre-electrification era in Kerala.",V.A. Shrikumar Menon,"['Mohanlal', 'Prakash Raj', 'Manju Warrier', 'Manoj Joshi']"
Carbon,"Adventure, Thriller",Sibi Sebastian's relentless determination takes him to the most unexpected situation in his life.,Venu Isc,"['Fahadh Faasil', 'Mamta Mohandas', 'Manikandan R. Achari', 'Chethan Jayalal']"
369,"Crime, Mystery, Thriller","When police couldn't tackle a mysterious incident involving his girlfriend, Sanjay takes the matter into his own hands.",Jefin Joy,"['Shafiqu Rahiman', 'Sadhika Venugopal', 'Ambika Mohan', 'Yr Restem']"
Ranam,"Action, Crime, Drama","Trapped in a life of crime, a mysterious getaway driver, lives with this code of conduct and protects his only friend. When he meets someone who can potentially change his entire world, he yearns at a chance for redemption.",Nirmal Sahadev,"['Prithviraj Sukumaran', 'Rahman', 'Giju John', 'Isha Talwar']"
Kayamkulam Kochunni,"Action, Drama, History","Dreaded by the rich and corrupt and revered by the poor and downtrodden, Kayamkulam Kochunni was a Robin Hood of sorts. Chronicles the life and times of the legendary 19th century highwayman, and how he rose from his humble beginnings.",Rosshan Andrrews,"['Nivin Pauly', 'Mohanlal', 'Sunny Wayne', 'Priya Anand']"
B. Tech,"Comedy, Romance, Thriller",A bunch of engineering students in Bengaluru struggle to get through the course due to their lackadaisical attitudes and frequent skirmishes within the college. An incident outside the ...See full summary»,Mridul Nair,"['Asif Ali', 'Aparna Balamurali', 'Anoop Menon', 'Sreenath Bhasi']"
Padayottam,"Comedy, Crime","The story revolves around a local don Chenkal Raghu, from Thiruvananthapuram and how the society perceives him.",Rafeek Ibrahim,"['Nitin Michael', 'Biju Menon', 'Vishnupriya Vijayan', 'Dileesh Pothan', 'Saiju Kurup']"
Njan Marykutty,Drama,A transsexual man's attempt to realize his true orientation in a society that stigmatizes gender transformation. Will Marykutty come out victorious while shredding all the taboos associated with transsexuality?,Ranjith Sankar,"['Jayasurya', 'Suraj Venjaramoodu', 'Innocent Vareed Thekkethala', 'Aju Varghese']"
Kammara Sambhavam,"Action, Comedy, Drama",Kammaran Nambiar is a crooked man whose life story as an unscrupulous Indian peasant is turned into a film where he is glorified as a freedom fighter with much manipulation of history.,Rathish Ambat,"['Dileep', 'Siddharth', 'Murali Gopy', 'Namitha Pramod']"
Mangalyam Thanthunanena,"Comedy, Family","Roy and Clara, a newly-wed couple who find themselves in a tight spot after Roy loses his job in Dubai. Will Roy manage to get his act together and deal with the crisis on his own?",Soumya Sadanandan,"['Kunchacko Boban', 'Nimisha Sajayan', 'Hareesh Kanaran', 'Shantikrishna']"
Nonsense,"Comedy, Drama, Romance","A bright but misunderstood student, who has a passion for BMX and a love for science, in his search for humanity. His faith in humanity is tested when something unexpected happens.",Mc Jithin,"['Rinosh George', 'Vinay Forrt', 'Shruti Ramachandran', 'Febia Mathew']"
Maradona,"Action, Comedy, Thriller","Maradona, a young man, due to some dangerous situations, moves out of his hometown and reaches Bangalore to stay with his distant relatives. However, during his stay there, his situation worsens further.",Vishnu Narayan,"['Tovino Thomas', 'Chemban Vinod Jose', 'Sharanya R. Nair', 'Tito Wilson']"
Uncle,Drama,The social and political milieu of Kerala is of much importance in the movie about an unusual situation a family is forced to face.,Gireesh Damodar,"['Mammootty', 'Karthika Muraleedharan', 'Joy Mathew', 'Muthumani']"
Shikkari Shambhu,"Comedy, Mystery","When an entire village is terrorized by the news of a tiger on the loose, they turn to Peeli and his jolly gang of friends for help. Rumour has it that Peeli is the son of famed hunter Varunni.",Sugeeth,"['Kunchacko Boban', 'Shivada Nair', 'Vishnu Unnikrishnan', 'Hareesh Kanaran']"
Pretham 2,"Comedy, Horror, Mystery",Five members of a Facebook group meet up at an old heritage bungalow to shoot a short film without realizing that their story has an indirect connection with the death of a teenager.,Ranjith Sankar,"['Jayasurya', 'Amith Chakalakkal', 'Dain Davis', 'Sidhartha Siva']"
Lilli,Thriller,"Abducted and confined in a room by a gang of sadistic men, a pregnant woman tries to escape, against insurmountable odds.",Prasobh Vijayan,"['Samyuktha Menon', 'Aaryan Menon', 'Dhanesh Anand', 'Kannan Nayar']"
Aadhi,"Action, Thriller","Aadhi, an aspiring musician, travels to another state in hopes of making it big. While there, an unexpected event leaves him trapped, unable to return to his family and running for his life.",Jeethu Joseph,"['Pranav Mohanlal', 'Sharafudheen', 'Meghanadhan', 'Siddique']"
Captain,"Biography, Sport",Former Indian football captain V P Sathyan is found dead under mysterious circumstances.,Prajesh Sen,"['Jayasurya', 'Anu Sithara', 'Deepak Parambol', 'Renji Panicker']"
Mohanlal,Comedy,Meenu was born on the same day that Mollywood superstar Mohanlal first appeared on the silver screens across Kerala in the iconic movie Manjil Virinja Pookal.,Sajid Yahiya,"['Manju Warrier', 'Indrajith Sukumaran', 'Soubin Shahir', 'Shebin Benson']"
Ira,"Crime, Mystery, Thriller","Aryan is like every other lover, who finds the world a better place just because of that one person. Life takes a sudden twist when he is implicated of a serious crime which he didn't commit and Rajeev who comes as a savior in his life.",Saiju S.S.,"['Unni Mukundan', 'Gokul Suresh', 'Shankar Ramakrishnan', 'Niranjana Anoop']"
Johny Johny Yes Appa,Comedy,"This is the story of the menace Johny who is very obedient to his father and have many tricks up his sleeve. He has an innocent demeanor, but underneath he's the mischievous of all the brothers.",G. Marthandan,"['Kunchacko Boban', 'Sanoop Santhosh', 'Anu Sithara', 'Vijayaraghavan']"
Street Lights,"Crime, Thriller","James, a Crime Branch police office faces thrilling events during his pursuit to solve a mystery.",Shamdat Sainudeen,"['Mammootty', 'Stunt Silva', 'Dharmajan Bolgatty', 'Hareesh Kanaran']"
Poomaram,Drama,"A war is waged between two colleges at the youth festival, with Goutham (Kalidas Jayaram) leading the Maharaja's college to regain their lost glory from the all-time winners, St. Teresa's college led by Irene (Neetha Pillai).",Abrid Shine,"['Kalidas Jayaram', 'Kunchacko Boban', 'Neeta Pillai', 'Meera Jasmine']"
Kamuki,Romance,"Achaamma is forced to make a promise to her father; she would not elope and marry anyone like her elder sister. While she keeps her word for the longest time, she begins to stumble when she meets Hari, her fellow mate at her college.",Binu Sadanandan,"['Aparna Balamurali', 'Askar Ali', 'Dain Davis', 'Baiju']"
Diwanji Moola Grand Prix,"Comedy, Sport, Thriller","The reopening of a long forgotten race brings together a family, old-time friends and an entire colony of the downtrodden to raise a new champion.",Anil Radhakrishnan Menon,"['Kunchacko Boban', 'Nyla Usha', 'Siddique', 'Rahul Rajasekharan']"
Kuttanadan Marpappa,"Comedy, Drama","When John Paul, a wedding photographer, meets Jessy for the first time, he instantly finds himself attracted to her. His crush eventually turns into love, the feeling which is reciprocated from Jessy's end too.",Sreejith Vijayan,"['Kunchacko Boban', 'Aditi Ravi', 'Shantikrishna', 'Innocent Vareed Thekkethala']"
