title,genre,description,director,cast
Bazooka,"Action, Crime, Thriller",Add a Plot,Deeno Dennis,"['Mammootty', 'Gautham Vasudev Menon', 'Shine Tom Chacko', 'Divya Pillai']"
Karinthandan,Action,"The myth of Karinthandan, a tribal man credited with the creation of Thamarassery Ghat (churam) - the fastest route between Wayanad and Kozhikode today - who was murdered by the British Raj in late 1700s.",Leela Santhosh,['Vinayakan']
Identity,"Action, Crime, Thriller",Add a Plot,Anas Khan,"['Akhil Paul', 'Sanjay Dutt', 'Gautham Vasudev Menon', 'Trisha Krishnan', 'Tovino Thomas']"
TikiTaka,Action,Add a Plot,Rohith V.S.,"['Wamiqa Gabbi', 'Lukman Avaran', 'Asif Ali', 'Naslen']"
D149,Comedy,Add a Plot,Vineeth Kumar,"['Dileep', 'Jinu Ben']"
Gangster of Mundanmala,"Crime, Thriller",Add a Plot,Ronnie Manuel Joseph,"['Aishwarya Lekshmi', 'Nivin Pauly']"
Bismi Special,"Comedy, Drama",Add a Plot,Rajesh Ravi,"['Aishwarya Lekshmi', 'Nivin Pauly']"
Neru,Drama,Add a Plot,Jeethu Joseph,"['Mohanlal', 'Priyamani', 'Anaswara Rajan', 'Siddique']"
Theeppori Benny,Comedy,Add a Plot,Raajesh Mohan,"['Joji Thomas', 'Aparna Balamurali', 'Arjun Ashokan', 'Jagadish', 'Femina George']"
L2: Empuraan,"Action, Crime, Thriller","The journey of Stephen Nedumpilly and how he became Khureshi Ab'Ram, the leader of an international crime organization.",Prithviraj Sukumaran,"['Mohanlal', 'Tovino Thomas', 'Sachin Khedekar']"
Panchavalsarapadhathi,Comedy,"The story revolves around Sanoj (Siju Wilson) who runs the Akshaya Centre in Kalamberi village. All of a sudden, Kalambasura -a local legend- starts appearing infront of the villagers.",Premlal,"['P.P. Kunhikrishnan', 'Muthumani', 'Siju Wilson', 'Nisha Sarangh']"
Parakkum Pappan,Comedy,a village simpleton gets special flying powers abed amazes his village,Viyaan Vishnu,['Dileep']
Gandharva jr.,"Drama, Fantasy",Add a Plot,Vishnu Aravind,['Unni Mukundan']
Bandra,"Action, Drama, Thriller",Add a Plot,Arun Gopy,"['Tamannaah Bhatia', 'R. Sarathkumar', 'Neil Nitin Mukesh', 'Dileep']"
Ottakomban,"Action, Family",Add a Plot,Mathews Thomas,"['Suresh Gopi', 'Biju Menon', 'Johny Antony', 'Mukesh']"
Big Ben,Drama,Add a Plot,Bino Augustine,"['Anu Mohan', 'Aditi Ravi', 'Vinay Forrt', 'Shebin Benson']"
Dance Party,Drama,Add a Plot,Sohan Seenulal,"['Shine Tom Chacko', 'Lena', 'Sreenath Bhasi', 'Prayaga Martin']"
Bermuda,Comedy,Bermuda is a glimpse into human lives that are speeding up by the moment...a glimpse into human minds.The mind is the friend of the conditioned mind and his enemy as well.,Rajeev Kumar,"['Shane Nigam', 'Vinay Forrt', 'G. Suresh Kumar', 'Kumar Sethu']"
Gaganachari,"Comedy, Sci-Fi","A dystopian comedy that takes place in the 2040's, where an apartment inhabited by three problematic bachelors soon becomes a haven for an extra-terrestrial female fugitive.",Arun Chandu,"['Anarkali Marikar', 'Gokul Suresh', 'Ganesh Kumar', 'Aju Varghese']"
Nadanna Sambhavam,Thriller,Add a Plot,Vishnu Narayan,"['Lijo Mol Jose', 'Biju Menon', 'Johny Antony', 'Suraj Venjaramoodu']"
Phoenix,Thriller,Add a Plot,Vishnu Bharathan,"['Aju Varghese', 'Anoop Menon', 'Chandhunadh']"
Pallichattambi,"Action, Thriller",Add a Plot,Dijo Jose Antony,['Tovino Thomas']
Oru Bilathikadha,null,Add a Plot,Ranjith,"['Janhvi Kapoor', 'Fahadh Faasil', 'Anita Hassanandani Reddy']"
Untitled Dulquer Salmaan/Raj B Shetty movie,null,Add a Plot,Raj B. Shetty,['Dulquer Salmaan']
Paattu,"Drama, Romance",Add a Plot,Alphonse Puthren,"['Nayanthara', 'Fahadh Faasil']"
Jallianwala Bagh,Thriller,"Follows a mix of people from different cultures and communities who are inmates in a college hostel, exploring the events happening there and taking an in-depth look at their lives and struggles.",Abhinesh Appukuttan,"['Sudhi Koppa', 'Shalu Rahim', 'Anwar Shereef', 'Varun Vasudev']"
Kaaliyan,Action,"Kunjirakottu Kaali, a great warrior and forgotten hero from the Venad kingdom.",S. Mahesh,['Prithviraj Sukumaran']
Qalb,"Drama, Romance",QALB tells the story of two young hearts falling in love. The ride takes you through the 7 stages of love. The title song 'Qalbee' describes the spiritual elements of love. Like faith there is no compulsion in love either.,Sajid Yahiya,"['Shane Nigam', 'Siddique']"
Mindiyum Paranjum,Drama,Add a Plot,Arun Bose,"['Aparna Balamurali', 'Unni Mukundan', 'Maala Parvathi', 'Jude Anthany Joseph']"
The Journalist,"Crime, Mystery, Thriller",This is a story of Crime and Revenge between a well reputed Doctor and a female Journalist who works for a news channel.,Vedanth Harsh,"['Chiranjeevi', 'Ranjitha J Murthy', 'Aryan Harsh']"
Aavesham,Action,Showcases a family who lives in Bengaluru; following them as they play Ojo board.,Jithu Madhavan,"['Fahadh Faasil', 'Nazriya Nazim', 'Ashish Vidyarthi', 'Mansoor Ali Khan']"
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,null,Add a Plot,Ratheesh Balakrishnan Poduval,"['Sudheesh Gopinath', 'Kunchacko Boban', 'Rajesh Madhavan', 'Chitra Nair']"
Parakramam,Drama,Malayalam film starring Shane Nigam. Written and directed by Arjun Ramesh,Arjun Ramesh,"['Shane Nigam', 'Sona Olickal', 'Renji Panicker', 'Geethi Sangeetha']"
Narayaneente Moonnaanmakkal,Comedy,Add a Plot,Sharan Venugopal,"['Joju George', 'Suraj Venjaramoodu', 'Alencier Ley Lopez', 'Garggi Ananthan']"
Anuradha Crime No. 59/2019,Thriller,"Based on real life events, explores the changes that happen to people's lives after they are misunderstood by society, and how conversations die down fast when it's about someone who passed away but was not known to the people.",Jose Thomas,"['Shan Thulasi', 'Anu Sithara', 'Santhosh Keezhattoor', 'Hareesh Kanaran', 'Indrajith Sukumaran']"
Ajayante Randam Moshanam,"Adventure, Comedy, Drama","Set in the Northern Kerala in 1900, 1950 and 1990, Three generations of heroes Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the Land.",Jithin Lal,"['Mohanlal', 'Tovino Thomas', 'Sathyaraj', 'Aishwarya Rajesh']"
B Nilavarayum Sharjah Palliyum,Comedy,The plot of the movie is a warm relationship between some boys in Kottakkam and a don called Sattar of notorious Sharjapally. The film also features a cameo appearance by Sivakarthikeyan.,Sooraj Sukumar Nair,"['Sivakarthikeyan', 'Samuthirakani', 'Shane Nigam', 'Anand Manmadhan']"
Rajni,"Action, Thriller",Add a Plot,Vinil Scariah Varghese,"['Kalidas Jayaram', 'Namitha Pramod', 'Saiju Kurup', 'Ashwin Kumar']"
Maharani,"Comedy, Drama",Add a Plot,G. Marthandan,"['Shine Tom Chacko', 'Roshan Mathew', 'Johny Antony', 'Jaffer Idukki']"
DNA,Thriller,Add a Plot,T.S. Suresh Babu,"['Raai Laxmi', 'Indrans', 'Johny Antony', 'Aju Varghese']"
Grrrr..,Comedy,Add a Plot,Jay.k,"['Kunchacko Boban', 'Suraj Venjaramoodu', 'Anagha L.K.', 'Shruti Ramachandran']"
E Valayam,Family,"The Central idea of the movie is the danger of addictions. Addiction is of several types like alcohol, drug, etc., But there is hesitance in accepting addictions that happen in the use of mobile gadgets, and its called NOMOPHOBIA",Revathy S. Varma,"['Renji Panicker', 'Muthumani', 'Vinod Thomas', 'Nandu']"
Sthanarthi Sreekuttan,Comedy,"Sthanarthi Sreekuttan (Candidate Sreekuttan) is a story of four mischievous students in K.R Narayanan U.P school. Story revolved around the conflict between the protagonist Sreekuttan, and Ambadi, who is a bright student in the class.",Vinesh Viswanath,"['Aju Varghese', 'Johny Antony', 'Saiju Kurup', 'Kannan Nayar']"
JSK,"Drama, Thriller",Add a Plot,Pravin Narayanan,"['Divya Pillai', 'Anupama Parameswaran', 'Suresh Gopi', 'Kottayam Ramesh']"
9MM,"Action, Thriller",Add a Plot,Dhinil Babu,"['Dhyan Sreenivasan', 'Manju Warrier', 'Dileesh Pothan', 'Sunny Wayne']"
Party,null,Add a Plot,Vinayakan,[]
Virunnu,Action,Add a Plot,Kannan Thamarakkulam,"['Arjun Sarja', 'Gireesh Neyyar', 'Aju Varghese', 'Nikki Galrani']"
Rani Chithira Marthanda,Comedy,Add a Plot,Pinku Peter,"['Keerthana Sreekumar', 'Zhinz Shan', 'Sini Abraham', 'Kiran Peethambaran']"
Thala,Thriller,"Thala, an unusual Story of an abandoned human head (in Malayalam 'Thala' means 'Head') which gotten by some slum kids. The film 'Thala' introducing 333 new faces to the cinema which selected and trained from slums.",Khais Millen,"['Surabhi Lakshmi', 'Murugan Martin', 'Shaalin Zoya', 'Aswin']"
Kishkkindha Kandam,null,Add a Plot,Dinjith Ayyathan,"['Aparna Balamurali', 'Asif Ali', 'Vijayaraghavan', 'Nizhalgal Ravi']"
Theatre,Drama,This film is inspired by and based on the true events of the lives of theater artists.,Nishanth Kalidindi,"['Hakkim Shah', 'Bhoominathan', 'Cecile', 'Sudheesh']"
Point Range,"Action, Thriller","The film is slated to release in Tamil, Malayalam, Telugu, Kannada and Hindi languages. Also the shooting took place in Kozhikode, Goa and Pondicherry. Point Range is an action thriller ...See full summary»",Sainu Chavakkadan,"['Dayyana Hameed', 'Sarath Kumar', 'Hareesh Peradi', 'Riyaz Khan']"
Professor Dinkan,Comedy,Professor Dinkan revolves around the story of a magician whose aim is to astonish the world with a risky magic trick. But one such attempts fails miserably and ends up affecting a lot of ...See full summary»,Ramachandra Babu,"['Dileep', 'Suraj Venjaramoodu', 'Aju Varghese', 'Namitha Pramod']"
Iyer Kanda Dubai,Comedy,Add a Plot,M.A. Nishad,"['Shine Tom Chacko', 'Urvashi', 'Dhyan Sreenivasan', 'Durga Krishna']"
Aadu 3,Comedy,Plot unknown. Third installment of the Aadu series.,Midhun Manuel Thomas,"['Jayasurya', 'Saiju Kurup', 'Dharmajan Bolgatty', 'Harikrishnan']"
Naale,Drama,"A boy born with wings must hide it from society, until an incident forces him to use them. His orphanage and his love interest are the only ones who know about his gifts.",Siju S Bava,"['Fahadh Faasil', 'Isha Talwar', 'Mukesh']"
Moonwalk,null,"A bunch of youngsters from the backyards of a small town in India during the late 80s, who, inspired by the Michael Jackson mania, try to emulate his style and learn break dancing.",Nainita Maria,"['Meenakshi Raveendran', 'Thushara Pillai', 'AkhilSamVijay']"
Tyson,Drama,Follows a boxer who struggles with social issues.,Prithviraj Sukumaran,[]
